Clearing app data removes local drafts, imports and preferences. Cloud meals can sync again. Export a backup first; map tiles and cloud photos need internet.	清除应用数据会删除本机草稿、导入记录和偏好。云端餐食可重新同步。建议先导出备份；地图与云照片需要网络。
Manage & back up memories	管理与备份回忆
Meals remembered	记下的餐食
Places explored	走过的地点
A good week is made of little moments.	美好的一周，由一个个小瞬间组成。
Keep another moment	再记录一顿美好
Not just the places.	不只是去过的地方。
The way we felt there.	还有那时的心情。
Explore our places	查看我们的地点
All caught up.	所有提醒都看过啦。
Go make a memory worth keeping.	去创造下一段值得珍藏的回忆吧。
A thought to make Savor better?	有什么建议，让 Savor 更好？
Save feedback note	保存反馈笔记
Dismiss dialog	关闭弹窗
Close dialog	关闭面板
Find a little moment...	寻找一段回忆…
Change profile photo	更换头像
We would love to hear it...	写下你的建议…
Dismiss notification	关闭提醒
Preferences	偏好
Memories	回忆库
Privacy	隐私
Settings	设置
Help & Feedback	帮助与反馈
Dietary, cuisines, tags	饮食、菜系与标签
Export, backup, import	导出、备份与导入
Manage your data	管理你的数据
Notifications, theme, more	提醒、主题与更多设置
We're here to help	我们愿意倾听
A little memory	一段小回忆
A moment worth coming back to.	值得反复回味的时光。
Your memories	你的回忆
Small moments. A beautiful collection.	收藏每一个美好瞬间。
Make this space feel like home.	把这里变成你的专属空间。
Our little world	我们的世界
Two people. One delicious story.	两个人，一段美味的故事。
Your kind of good	你喜欢的美好
A diary with a taste for you.	一本懂你口味的日记。
The little details	细微之处
Savor, just the way you like it.	把 Savor 调成你喜欢的样子。
Just between us	属于你的小天地
A little space you can trust.	安心珍藏回忆的空间。
A week to savor	值得回味的一周
Your little collection of good things.	这一周的小小美好合集。
Our journey	我们的旅程
One meal, one place, one memory at a time.	一顿饭，一个地方，一段回忆。
A little hello	一声问候
The latest from your little world.	你的小世界里发生的新鲜事。
Here for you	随时倾听
A little help, whenever you need it.	需要帮助时，我们就在这里。
Pearl	浅色
Dusk	暗色
Preparing photo...	正在准备照片…
Saving memory...	正在保存回忆…
Save Memory	保存回忆
Choose a date	选择日期
Selected location	已选位置
Confirm restaurant in Tencent Maps	在腾讯地图确认餐馆位置
Keep the actual restaurant coordinates, not the city centre	保存真实餐馆坐标，而非城市中心
Expand pending locations	展开待确认位置
Collapse	收起
records need a confirmed location	条记录待确认位置
Confirm the actual branch for older records, not a city-centre placeholder.	为旧记录确认具体门店，不使用城市中心代替。
Choose a record to locate	选择记录并补充
Demo map	演示地图
Sample location	演示位置
Confirmed restaurant location	已确认餐馆位置
Restaurant locations pending	餐馆位置待确认
No memories here yet.	这里还没有回忆。
Older city coordinates do not identify a restaurant.	旧记录的城市坐标不能代表真实餐馆位置。
Try another place, restaurant, or tag.	试试其他地点、餐厅或标签。
Confirm restaurant locations	补充餐馆位置
Show all memories	显示全部回忆
memory	条回忆
memories	条回忆
found	已找到
A favorite	值得回味
Cafe	咖啡馆
Bistro	小馆
Latest:	最近：
Saving...	正在保存…
Save profile	保存资料
Only us	仅我们可见
Share with us	分享到「我们」
Saved	已收藏
Save	收藏
Loved	已喜欢
Love	喜欢
Delete memory	删除回忆
All	全部
Shared	共享
Favorites	收藏
Back to the good stuff	回到美好时光
Mark all as read	全部标为已读
A little while ago	前些时候
Some moments need no words.	有些瞬间，不需要言语。
The next adventure	下一段旅程
Still to be written	故事待续
Another little chapter in our story.	我们故事里的又一个小篇章。
Rainy afternoons and the warmest bowls.	雨天的午后，暖暖的一碗。
Long lunches. A new favorite city.	慢慢享用午餐，又爱上一座城市。
Our first meal	我们的第一顿饭
The start of something worth savoring.	值得回味的故事，从这里开始。
Your week, beautifully kept	这一周的美好，已珍藏
Take a little look at your latest memories.	看看你最近留下的回忆。
Your weekly reflection	本周回顾
Where are my memories saved?	我的回忆保存在哪里？
New meals are saved to your private cloud space, with a cache on this device. Samples, imports, favorites and local deletions stay on this device. Export keeps a JSON backup; cloud photos require your WeChat access.	新餐食保存在私人云空间，本机保留缓存。演示、导入、收藏和本地删除状态仅在本机。导出提供 JSON 备份，云照片仍需要原微信账号权限。
How do I share a moment?	怎样分享一段回忆？
Open a memory and tap Share with us. It appears in the Us screen in this diary. This concept does not send data to another device or person.	打开回忆并选择分享到「我们」，即可出现在本机的「我们」页面。目前不会发送给其他设备或用户。
Can I add my own photos?	可以添加自己的照片吗？
Of course. Tap Add, then the photo area or Add more. You can keep up to four photos in each memory.	可以。进入「记录」，点击照片区或添加照片。每条新回忆最多保留四张照片。
You can keep up to four photos in one memory.	每条回忆最多保留四张照片。
Could not prepare the photo. Please select it again.	无法准备这张照片，请重新选择。
Give this memory a restaurant or place name.	请填写餐厅或地点名称。
Choose a date for your memory.	请选择这顿饭的日期。
A little moment, kept forever. Memory saved.	这一刻已珍藏，回忆保存成功。
Save failed. Your draft is kept.	保存失败，草稿已保留。
Your draft is here whenever you are ready.	草稿已保留，准备好时再继续。
The previous save needs confirmation. Tap Save again before editing.	上一次保存结果尚未确认，请先再次点击保存，再修改内容。
Cloud sync unavailable. Your cached memories are still here.	云同步暂不可用，本机缓存的回忆仍可查看。
Place removed from your favorites.	已取消收藏此地点。
A good place to come back to. Saved.	值得再来，已收藏。
A little more you. Profile updated.	更像你了，资料已更新。
A little love, added to your shared space.	为我们的空间添一点爱。
Your shared story is updated.	我们的故事已更新。
Your tastes, remembered. Preferences saved.	记住你的口味，偏好已保存。
This moment is now just for you.	这段回忆现在仅自己可见。
A new chapter in your shared story.	为我们的故事添上新的篇章。
Memory removed from your diary.	已从本机日记移除回忆。
Storage is full or unavailable. Export your memories to keep a backup.	本地空间已满或不可用，请导出回忆备份。
Storage unavailable. Free some space before saving; your input is still here.	本地存储不可用。请清理空间后保存，当前输入仍保留。
Could not write the backup file on this device.	无法在本机写入备份文件。
Your memories, ready to take with you. Backup saved.	回忆已打包，备份文件已生成。
Sharing unavailable — backup JSON copied to clipboard instead.	暂时无法分享文件，已将备份 JSON 复制到剪贴板。
Backup JSON copied to clipboard.	备份 JSON 已复制到剪贴板。
Please use a backup smaller than 10 MB.	请选择小于 10 MB 的备份文件。
This file could not be read. Choose a Savor JSON backup.	无法读取此文件，请选择 Savor JSON 备份。
This is not a valid Savor backup. Choose a JSON file exported from Savor.	这不是有效的 Savor 备份，请选择从 Savor 导出的 JSON 文件。
Your diary already has every memory in this backup.	这份备份中的回忆已全部在日记中。
Cloud is unavailable. Update WeChat and try again. Your draft is kept.	云能力不可用，请更新微信后重试，草稿已保留。
Cloud could not start. Your draft is kept; please retry.	云服务初始化失败，草稿已保留，请重试。
Could not reach mealRecords. Check your connection and deploy the cloud function. Your draft is kept; retry safely.	无法连接 mealRecords，请检查网络并部署云函数。草稿已保留，可安全重试。
Cloud could not save or sync. Your draft and cache are kept.	云端保存或同步失败，草稿与缓存已保留。
This photo is no longer available. Please select it again.	这张照片已不可用，请重新选择。
Photo upload failed. No incomplete meal was submitted. Your draft is kept; please retry.	照片上传失败，未提交不完整餐食。草稿已保留，请重试。
Please deploy the updated mealRecords function, then retry this draft.	请部署更新后的 mealRecords 云函数，再重试此草稿。
Cloud returned an unsupported record. Your draft is kept.	云端返回了不支持的记录，草稿已保留。
Cloud sync failed. Cached memories are still available.	云同步失败，缓存中的回忆仍可查看。
Cloud pagination failed. Cache is kept.	云端分页失败，本机缓存已保留。
Please update WeChat to select a restaurant location.	请更新微信后选择餐馆位置。
The map returned an invalid location. Please select again.	地图返回的位置无效，请重新选择。
Location selection cancelled.	已取消位置选择。
Map is showing cached memories; cloud sync is unavailable.	地图正在显示缓存记录，云同步暂不可用。
Restaurant location saved.	餐馆位置已保存。
Could not save the location. Please retry.	位置保存失败，请重试。
Could not open map navigation.	暂时无法打开地图导航。
Please confirm the restaurant in Tencent Maps before saving. A city centre is not a restaurant location.	请先在腾讯地图中确认餐馆位置，避免将城市中心当作餐馆。
Please tap Save to confirm the previous save first.	请先点击 Save 确认上一次保存结果。
Could not open Tencent Maps. Check location permission and the mini program privacy settings, then retry.	无法打开腾讯地图选点，请检查定位授权和小程序隐私设置后重试。
Invalid location response. Please retry.	位置保存结果无效，请重试。
Link import · Planned	链接导入 · 功能规划
Screenshot OCR · Planned	截图 OCR · 功能规划
Manual entry · Available	手动记录 · 已可使用
Link import	链接导入
Screenshot OCR	截图 OCR
Planned: paste a public link → server parsing → confirm the restaurant and map location → save. No parsing service is connected yet; no restaurant information will be fabricated.	规划流程：粘贴公开链接 → 服务端解析 → 确认餐馆与腾讯地图位置 → 保存。当前尚未接入解析服务，不会自动抓取或生成餐馆信息。
Planned: choose a screenshot → extract restaurant, date, cost and dishes → review → confirm map location → save. OCR is not connected yet; your screenshots will not be uploaded.	规划流程：选择截图 → OCR 提取店名、日期、金额与菜品 → 编辑确认 → 腾讯地图选点 → 保存。当前尚未接入 OCR，不会上传您的截图。
OK	确定
Cancel	取消
Language updated.	语言已更新。
Cloud service is temporarily unavailable. Please retry.	云端暂时不可用，请重试
Please check the record fields.	请检查记录内容
Record not found or you cannot edit it.	记录不存在或无权修改。
Saved locally, not sent to a server.	仅保存在本机，尚未发送。
Feedback notes saved on this device:	本机已保存的反馈笔记：
memories in your diary	条回忆已珍藏
Change photo	更换照片
Update profile	保存资料
Your shared days	相伴的日子
Both of you, remembered.	珍藏属于你们的时光。
Something to remember	值得记下的美好
Rate	评分
stars	星
Remove	移除
Open shared memory at	打开共享回忆：
Like	喜欢
Unlike	取消喜欢
View your memory at	查看回忆：
Remove from saved places	取消收藏此地点
Save this place	收藏此地点
Remove your little love	收回这份小心意
Add a little love	送出一份小心意
On this device	在此设备上
No restrictions	无特殊限制
Vegetarian	蛋奶素
Vegan	纯素
Pescatarian	鱼素
Gluten-free	无麸质
Dairy-free	不含乳制品
French	法国菜
Japanese	日本料理
Italian	意大利菜
Chinese	中式料理
Korean	韩国料理
Mediterranean	地中海菜
Mexican	墨西哥菜
Indian	印度菜
View photo	查看照片
Where next?	下一站去哪里？
tag	标签
moment	段回忆
moments	段回忆
worth keeping	值得珍藏
Feedback is kept locally in this concept, not sent to a server.	反馈仅保存在本机，尚未发送到服务器。
You have saved {count} feedback notes on this device.	已在本机保存 {count} 条反馈笔记。
{count} memories welcomed back to your diary.	已导入 {count} 条回忆。
Thank you. Your feedback note is saved on this device.	谢谢，反馈笔记已保存在本机。
A moment with {partner}	与 {partner} 的一段回忆
Remember that dinner at {restaurant}?	还记得在 {restaurant} 的那顿饭吗？
Mon	一
Tue	二
Wed	三
Thu	四
Fri	五
Sat	六
Sun	日
Save place	收藏地点
In our space	已分享到「我们」
Saved memories	收藏回忆
Personalize	个性化
Page titles and your profile	页面标题与个人资料
Make these words yours.	让每一页都有你的表达。
Page title	标题
Page subtitle	副标题
Home first line	首页上行标题
Restore this page	恢复此页默认
Save personalization	保存个性化设置
Saved on this device. Custom text stays unchanged when switching languages. Blank page fields use the default wording.	仅保存在本机。切换语言不会翻译自定义文案；页面文案留空则使用默认内容。
Personalization saved.	个性化设置已保存。
Could not save. Free some storage and try again.	保存失败，请清理存储空间后重试。
Your name cannot be empty.	个人名称不能为空。
Name	名称
Bio	签名
Location metadata needs confirmation	城市／国家地区待确认
City	城市
Country / region	国家／地区
Confirm these fields match the selected address. Unknown locations are excluded from city statistics.	请核对城市与国家／地区是否对应选点地址。未确认地点不计入城市统计。
Per-person cost	人均消费
Cuisine	菜系
Dishes (comma separated)	菜品（用逗号分隔）
Unrated	未评分
Edit memory	编辑餐食
Sync status	同步状态
Pending changes and conflicts	待同步修改与冲突
Your changes, safely kept.	本机修改已保留。
Retry sync	重试同步
Use cloud version	以云端为准
No pending changes.	没有待同步修改。
Discard local pending changes for this record and use the cloud version?	放弃这条记录尚未同步的本机修改，改用云端版本？
Cloud deletion will sync to your devices. Photos are retained to avoid deleting shared files.	云端删除会同步到你的设备。照片文件暂时保留，避免误删复用文件。
Replace the existing Add draft?	替换当前记录页尚未保存的草稿？
Changes are kept on this device. Open Sync status in Me to retry or resolve conflicts.	修改已保存在本机。请在「我的 → 同步状态」重试或处理冲突。
Enter a valid per-person cost.	请输入有效的人均消费金额。
You can keep up to nine photos in one memory.	每条餐食最多保留九张照片。
Could not preview these photos. Please retry.	暂时无法预览照片，请重试。
Location city and country must be confirmed together.	请一起确认城市及国家／地区。
Delete	删除
Update	修改
Flags	收藏／点赞／共享
Pending	待同步
Conflict	冲突
Retry the uncertain operation first.	请先重试，以确认上次操作结果。
Confirm	确认
No meals this week yet.	本周还没有餐食记录。
No shared journey yet.	还没有共享旅程记录。
Remove this local memory? It has no cloud copy.	移除这条本机回忆？它没有云端副本。
New meals and changes to your cloud meals sync privately. Offline edits, favorites and deletions are kept in a local queue; check Sync status in Me. Samples and local-only imports are not auto-uploaded. Cloud photo files are retained after deletion.	新增餐食及云端餐食的修改会私密同步。离线编辑、收藏和删除会保留在本机队列，请在「我的 → 同步状态」查看。演示数据和仅本机导入的数据不会自动上传。删除后云图片文件暂时保留。
Tap Add to keep up to nine photos. Tap a photo for fullscreen preview, or remove any thumbnail.	在记录页最多保留九张照片。点击照片可全屏预览，也可移除任意缩略图。
Open a memory and tap Share with us. The shared flag syncs for this diary. Couple binding and sending records to another person are not enabled.	打开回忆并选择分享到「我们」，共享标记会在你的日记中同步。情侣绑定和向其他用户发送记录尚未启用。
The cloud record changed. Review the conflict before retrying.	云端记录已变化，请先检查冲突，再决定是否保留云端版本。
Record not found or not owned by you.	记录不存在，或你没有修改权限。
This record was deleted.	这条记录已被删除。
Sync in progress. Please try again.	正在同步，请稍后重试。
The cloud returned an invalid result. Retry safely.	云端返回结果无效，可安全重试。
Invalid edit draft.	编辑草稿无效，请重新打开餐食。
No photo added.	尚未添加照片（当前为占位图）。
Needs review	需要处理
The local pending change is invalid. Review it in Sync status.	本机待同步修改无效，请在同步状态中处理。
The previously saved record was deleted. Edit the draft before saving a new memory.	之前保存的记录已删除。如需新建，请先修改草稿再保存。
Share text / link	分享文案 / 链接
Paste a restaurant share	粘贴餐厅分享
Dianping · dine-in	大众点评 · 堂食
Meituan · delivery	美团 · 外卖
Other platform · delivery	其他平台 · 外卖
Paste the complete share text, including the link. One shop at a time.	粘贴包含链接的完整分享文案，一次一家店。
Prepare candidate	生成待确认候选
Share text only; not verified against the web.	仅根据分享文案整理，未经网页核验。
Platform rating (reference only)	平台评分（仅供参考）
Platform average price (reference only)	平台人均（仅供参考）
Address hint (confirm in Tencent Maps)	地址线索（需腾讯地图确认）
Use in draft	填入草稿
Cancel import	取消导入
Replace the restaurant in this draft?	替换当前草稿中的餐厅？
Notes, photos, ratings and actual cost stay unchanged. Check them before saving. Date and Tencent location must be selected again. Nothing is saved to the cloud now.	现有备注、照片、个人评分和实际消费会保留，请保存前检查。用餐日期和腾讯地图位置需重新选择。现在不会保存到云端。
Finish the current save or edit before importing another restaurant.	请先完成当前保存或编辑，再导入另一家餐厅。
Paste some share text first.	请先粘贴分享文案。
Share text is too long (maximum 6000 characters).	分享文案过长，最多 6000 字符。
Import one shop at a time.	请一次只导入一家店。
Check the selected source platform.	请检查所选来源平台。
Enter a restaurant name up to 70 characters.	请填写不超过 70 字符的店名。
The draft changed. Review the candidate and try again.	草稿已变化，请检查候选后重试。
Could not persist the draft. Existing inputs are kept.	草稿未能写入本机存储，原有输入已保留。
Choose the specific branch in Tencent Maps; never use the delivery destination.	请在腾讯地图确认具体分店，不要选择收货地址。
Imported source	导入来源
The edit has no verifiable cloud receipt. Your draft is kept; do not clear it to retry.	这次编辑没有可核验的云端回执，草稿已保留；请勿通过清空草稿重试。
Collapse place card	收起门店卡片
Expand place card	展开门店卡片
Nearby records	附近的记录
These markers overlap. Choose a record, or zoom in to separate them.	这些标记相互靠近。请选择记录，或放大地图查看。
Close nearby records	关闭附近记录
Correct	校正位置
Open map	在腾讯地图打开
Dining types	餐饮类型
Category from share text	类别来源：分享文案
Category from Tencent Maps	类别来源：腾讯地图
Category confirmed by you	类别来源：手动确认
Category not supplied	未提供类别，可手动补充
Original category	来源原始分类
Name-based suggestion, not platform data	仅根据店名推测，不是平台资料
Use suggestion	采用建议
City for branch search	搜索城市（请填写具体城市）
Search Tencent branches	查询腾讯地图分店
Searching branches...	正在搜索分店…
No candidates found. Try another name or use the native picker.	没有找到候选，请调整名称或使用原生选点。
Confirm with native map picker	使用原生地图选点
Confirmed branch	已确认分店
Tencent Maps candidates, not platform-verified identity	腾讯地图候选，不代表平台分店身份已核验
Confirm this branch	确认这家分店
Check the address and branch. Search results are not identity proof.	请核对地址和分店，搜索结果不等于已确认同一家店。
The shop names differ. Check the city, branch and address before confirming.	店名不一致，请核对城市、分店和地址后再确认。
Map search is unavailable. Use the native map picker.	地图搜索暂不可用，请使用原生地图选点。
Map search is not configured for this account. Use the native map picker.	当前账号尚未配置地图搜索，请使用原生地图选点。
Enter a restaurant name and a specific city.	请填写店名和具体城市。
Please wait a moment before searching again.	请稍候再搜索。
Map search returned an invalid result.	地图搜索结果无效，请改用原生选点。
Notes, photos, ratings and actual cost stay unchanged. Choose the actual meal date and confirm the exact branch before saving. Nothing is saved to the cloud now.	原有备注、照片、个人评分和实际消费会保留，请检查。保存前请填写实际用餐日期并确认具体分店。现在不会写入云端。
Hot pot	火锅
Buffet	自助餐
Barbecue	烧烤
Snacks	小吃
Noodle shop	面馆
Dessert	甜品
Bar	酒馆
Category not recorded	尚未记录类别
Free-first mode: local category extraction and native map selection. Cloud place search is off.	免费优先：本地提取类别，使用原生地图选点，云端商家搜索已关闭。
Cloud place search is off to avoid extra usage. Use the native map picker.	云端商家搜索已关闭以避免额外用量，请使用原生地图选点。
Cloud restaurant search	云端商家搜索
On: tap Search to use your configured backend. Native map selection remains available.	已开启：点击搜索时才调用已配置的后台，仍可使用原生地图选点。
Off: local category extraction and native map selection only.	已关闭：仅在本地提取类别，使用原生地图选点。
Enable cloud restaurant search?	开启云端商家搜索？
Search uses Tencent Maps and CloudBase quotas. It runs only when you tap Search. Free usage depends on your account quota; this switch does not change backend permissions.	搜索会消耗腾讯地图及云开发额度，仅在点击搜索时请求。是否免费取决于账号额度；本开关不会修改后台权限。
Could not save this preference. Please try again.	无法保存此开关设置，请重试。
Imported reference details	导入参考资料
Area clue (not confirmed geography)	地区线索（不代表已确认地理位置）
Reference figures are not your personal rating or actual cost. Confirm the location and add the actual meal date yourself.	平台数据不等于你的个人评分或实际花费。请确认餐馆位置，并自行填写实际用餐日期。
Candidate filled into draft. Reference details are kept separately; add the actual meal date, rating and cost yourself.	候选已填入草稿，参考资料已单独保留；请填写实际用餐日期、个人评分和花费。
Original share link	分享链接（已去跟踪参数）
Actual cost per person	本次实际人均消费
Your rating	你的评分
Merchant page details	商家页面资料
Not connected: merchant page details	尚未接通商家页面资料获取
Names, categories, style descriptions and merchant images are not being fetched from the linked page. The current candidate uses only the text you paste.	当前不会从链接页面拉取店名、分类、风格描述或商家图片；候选仅来自你粘贴的文字。
Organize pasted text	整理分享文案
Create candidate from text	整理文案，生成候选
Tencent branch location (optional)	腾讯地图分店定位（可选）
Tencent location search	腾讯地图分店定位
On: search Tencent by city and name to confirm a branch. This does not fetch merchant page details or images.	已开启：按城市和店名查找腾讯地图分店，辅助确认位置；不会获取商家页面资料或图片。
Off: use the native map picker to confirm the branch.	已关闭：仍可使用原生地图选点确认分店。
Enable Tencent branch location search?	开启腾讯地图分店定位？
This only searches Tencent Maps for a branch location, not the merchant share page or its images. Requests use Tencent and CloudBase quotas only when you tap Search.	此功能只查询腾讯地图分店位置，不读取商家分享页面或图片。仅点击搜索时发起请求，消耗腾讯地图及云开发额度。
City for location search (required)	定位城市（必填）
Tencent location search is off. Use the native map picker.	腾讯地图分店定位已关闭，请使用原生地图选点。
Collapse expanded pins	收起标记
Previous pin page	上一页地标
Next pin page	下一页地标
Expand grouped pins	展开叠放地标
Account & legacy data	账号与旧数据
Identity partitions, backups and recovery	身份分区、隔离备份与恢复
Shared space & wishlist	双人空间与 Wishlist
Invite, consent and share explicitly	邀请、同意与主动共享
Cloud tools	云端工具
Backups, preferences and feedback	备份、偏好与反馈
Annual reports	年度报告
Memories, milestones and sharing	日记、里程碑与主动分享
No matching places	没有匹配的地点
No favorites on the map	地图上暂无收藏
Show all mapped memories instead.	切换到全部回忆，查看已定位的地点。
No places in this view	当前筛选下没有地点
Show in Us	加入「我们」
In Us	已加入「我们」
Us is your diary collection, not proof of sharing with another account. Manage cross-account access separately in Shared space.	「我们」展示你日记中标记的记录，不代表另一账号已获授权。跨账号访问请在双人空间中单独管理。
Added to your Us collection; not sent to another account.	已加入你的「我们」合集，未发送给另一账号。
Removed from your Us collection; shared-space access is unchanged.	已从你的「我们」合集移除，双人空间的访问权限未改变。
Tap Show in Us to organize your own diary. This does not send a record or grant another account access. Shared space has separate consent and sharing controls.	点击「加入我们」整理自己的日记，不会发送记录或授权另一账号访问。双人空间另有明确同意和共享入口。
Previous page	上一页
Next page	下一页
Meal	餐食
Place	地点
Saved memory	已收藏回忆
day	天
Show all mapped memories	全览已定位的回忆
Choose from album or camera	从相册或相机选择
